caseId,caseGroupId,variantId,questionType,retrievalType,difficulty,answerability,counted,passed,failureStage,semanticHit,semanticBestRank,lexicalHit,lexicalBestRank,fusionHit,fusionBestRank,rerankHit,rerankBestRank,selectedDocumentHit,finalContextHit,durationMs
kb-eval-025,servicedesk-reg-email-unique,v1,configuration_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,3,True,9,True,1,True,True,7336
kb-eval-026,servicedesk-reg-email-unique,v2,troubleshooting_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,False,,False,,False,,True,True,8412
kb-eval-027,servicedesk-reg-number-human,v1,procedural_how_to,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,4,True,12,True,1,True,True,8021
kb-eval-028,servicedesk-import-email-cancelled,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,10,True,28,True,1,True,True,7336
kb-eval-029,wikijs-global-search-attrs,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,8085
kb-eval-030,wikijs-global-search-diacritics,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,6,True,17,True,4,True,True,7178
kb-eval-031,wikijs-global-search-and,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,25,True,50,True,2,True,True,7374
kb-eval-032,wikijs-search-negative-keyword,v1,exact_identifier_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,12,True,27,True,1,True,True,8096
kb-eval-033,wikijs-history-page,v1,definition_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,17,True,38,True,1,True,True,8342
kb-eval-034,kb-error-content-procedure,v1,procedural_how_to,single_page_multi_chunk,medium,answerable,True,True,passed,True,34,True,1,True,1,True,1,True,True,8431
kb-eval-035,kb-editor-it,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,6736
kb-eval-036,kb-page-title-rules,v1,configuration_question,single_page_single_chunk,medium,answerable,True,False,lost_in_document_selection,False,,True,3,True,12,True,8,False,False,8223
kb-eval-037,kb-description-rules,v1,configuration_question,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,3,True,12,True,2,True,True,7392
kb-eval-038,kb-directory-name-rules,v1,configuration_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,6,True,17,True,1,True,True,8671
kb-eval-039,kb-directory-name-rules,v2,configuration_question,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,7,True,18,True,1,True,True,8433
kb-eval-040,kb-tag-name-rules,v1,configuration_question,single_page_multi_chunk,medium,answerable,True,True,passed,False,,True,1,True,7,True,2,True,True,8736
kb-eval-041,kb-create-page,v1,procedural_how_to,single_page_multi_chunk,medium,answerable,True,True,passed,False,,True,13,True,33,True,1,True,True,7951
kb-eval-042,markdown-table-basic,v1,definition_question,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,1,True,11,True,1,True,True,8894
kb-eval-043,markdown-table-dense,v1,exact_identifier_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,23,True,45,True,1,True,True,7277
kb-eval-044,markdown-table-linebreak,v1,exact_identifier_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,False,,False,,False,,True,True,7231
kb-eval-045,markdown-table-vertical-merge,v1,exact_identifier_lookup,single_page_single_chunk,medium,answerable,True,False,lost_in_document_selection,False,,True,35,True,71,True,71,False,False,8699
kb-eval-046,drawio-insert,v1,procedural_how_to,single_page_single_chunk,medium,answerable,True,True,passed,True,39,True,2,True,1,True,1,True,True,8718
kb-eval-047,hour-company-founded,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,4,True,1,True,True,8354
kb-eval-048,hour-name-origin,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,8374
kb-eval-049,hour-headquarters,v1,exact_identifier_lookup,single_page_single_chunk,easy,answerable,True,False,lost_in_document_selection,False,,True,37,True,73,True,73,False,False,8674
kb-eval-050,hour-hotline-phone,v1,exact_identifier_lookup,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,9049
kb-eval-051,meal-contribution-forms,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,True,56,True,2,True,1,True,1,True,True,7170
kb-eval-052,meal-contribution-amount-salary,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,7,True,1,True,True,8674
kb-eval-053,meal-card-deduction,v1,table_value_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,1,True,3,True,1,True,True,8074
kb-eval-054,sport-child-contribution-amount,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,11,True,3,True,True,8912
kb-eval-055,sport-child-contribution-amount,v2,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,False,,False,,False,,True,True,7970
kb-eval-056,recreation-contribution-amount,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,True,49,True,3,True,1,True,4,True,True,7560
kb-eval-057,social-fund-individual-amount,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,True,56,True,5,True,2,True,1,True,True,8972
kb-eval-058,social-fund-deadline,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,3,True,12,True,1,True,True,8810
kb-eval-059,weekly-work-time,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,9,True,1,True,True,8895
kb-eval-060,basic-work-time,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,5,True,1,True,True,9089
kb-eval-061,basic-work-time,v2,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,8,True,1,True,True,8984
kb-eval-062,hotline-work-time,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,16,True,36,True,1,True,True,8657
kb-eval-063,lunch-break-duration,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,3,True,12,True,1,True,True,7742
kb-eval-064,lunch-break-time-window,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,6,True,1,True,True,9042
kb-eval-065,lunch-break-not-recorded,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,9,True,1,True,True,8352
kb-eval-066,absence-types,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,17,True,35,True,1,True,True,8642
kb-eval-067,absence-request-beforehand,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,4,True,1,True,True,8912
kb-eval-068,absence-after-1530,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,16,True,34,True,1,True,True,9107
kb-eval-069,automatic-reply-over-2-days,v1,concrete_fact_lookup,single_page_multi_chunk,easy,answerable,True,True,passed,False,,True,6,True,13,True,1,True,True,9087
kb-eval-070,automatic-reply-over-2-days,v2,concrete_fact_lookup,single_page_multi_chunk,easy,answerable,True,True,passed,False,,True,41,True,81,True,81,True,True,7525
kb-eval-071,absence-doctor-claim,v1,table_value_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,17,True,37,True,1,True,True,7658
kb-eval-072,absence-doctor-claim,v2,table_value_lookup,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,7545
kb-eval-073,holiday-request-over-3-days,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,5,True,1,True,True,8671
kb-eval-074,holiday-request-over-3-days,v2,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,False,lost_in_document_selection,False,,True,42,True,85,True,85,False,False,7361
kb-eval-075,holiday-request-over-3-days,v3,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,7854
kb-eval-076,holiday-half-day-hours,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,8080
kb-eval-077,holiday-planning-period,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,8576
kb-eval-078,holiday-max-rest-september,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,4,True,1,True,True,7541
kb-eval-079,holiday-substitute-person,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,19,True,42,True,1,True,True,8334
kb-eval-080,pn-24h-evidence,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,6,True,16,True,1,True,True,8426
kb-eval-081,ocr-24h-evidence,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,False,lost_in_document_selection,True,34,False,,True,69,True,69,False,False,9023
kb-eval-082,outlook-auto-reply-steps,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,True,passed,False,,False,,False,,False,,True,True,7887
kb-eval-083,teams-auto-reply-steps,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,9,True,21,True,1,True,True,8223
kb-eval-084,private-interruption-examples,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,1,True,6,True,1,True,True,8072
kb-eval-085,service-interruption-limit,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,3,True,1,True,True,8069
kb-eval-086,work-from-home-request,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,1,True,3,True,1,True,True,9460
kb-eval-087,work-from-home-ban,v1,concrete_fact_lookup,single_page_single_chunk,medium,answerable,True,True,passed,False,,True,1,True,4,True,1,True,True,7314
kb-eval-088,overtime-limit,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,4,True,16,True,1,True,True,10589
kb-eval-089,humanet-login-web,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,16,True,36,True,1,True,True,8180
kb-eval-090,humanet-mobile-hour-guest,v1,concrete_fact_lookup,single_page_single_chunk,easy,answerable,True,True,passed,False,,True,2,True,9,True,1,True,True,9402
kb-eval-091,attendance-approval-steps,v1,procedural_how_to,single_page_single_chunk,easy,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,7579
kb-eval-092,attendance-view-steps,v1,procedural_how_to,single_page_single_chunk,medium,answerable,True,False,missed_by_semantic,False,,False,,False,,False,,False,False,8230
kb-eval-093,absence-auto-reply-when-and-how,v1,multi_page_synthesis,multi_page,medium,answerable,True,True,passed,False,,True,38,True,78,True,78,True,True,9388
kb-eval-094,kb-create-page-with-rules,v1,multi_page_synthesis,multi_page,hard,answerable,True,True,passed,False,,True,10,True,24,True,1,True,True,9267
kb-eval-095,onedrive-files-on-demand-icon,v1,multi_page_synthesis,multi_page,medium,answerable,True,True,passed,False,,True,1,True,5,True,1,True,True,8526
kb-eval-096,outsourcing-data-file-upload,v1,multi_page_synthesis,multi_page,hard,answerable,True,True,passed,False,,False,,False,,False,,True,True,9185
kb-eval-097,attendance-training-and-view,v1,multi_page_synthesis,multi_page,hard,answerable,True,False,lost_in_document_selection,False,,True,79,True,154,True,154,False,False,7831
kb-eval-098,ambiguous-update-date,v1,ambiguous_question,ambiguous_requires_clarification,easy,ambiguous,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,9162
kb-eval-099,ambiguous-rights-change,v1,ambiguous_question,ambiguous_requires_clarification,easy,ambiguous,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8713
kb-eval-100,ambiguous-absence-request,v1,ambiguous_question,ambiguous_requires_clarification,easy,ambiguous,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,9309
kb-eval-101,ambiguous-manual,v1,ambiguous_question,ambiguous_requires_clarification,easy,ambiguous,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8736
kb-eval-102,ambiguous-system-admin,v1,ambiguous_question,ambiguous_requires_clarification,easy,ambiguous,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8708
kb-eval-103,negative-wifi-password,v1,unanswerable_in_scope,negative_no_source_expected,easy,unanswerable,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8748
kb-eval-104,negative-humanet-update-2027,v1,unanswerable_in_scope,negative_no_source_expected,easy,unanswerable,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8763
kb-eval-105,negative-employee-salary,v1,out_of_scope,negative_no_source_expected,easy,out_of_scope,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,7828
kb-eval-106,negative-api-token-secret,v1,unanswerable_in_scope,negative_no_source_expected,medium,unanswerable,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8815
kb-eval-107,negative-general-tax-advice,v1,out_of_scope,negative_no_source_expected,easy,out_of_scope,False,True,no_expected_source_defined,False,,False,,False,,False,,False,False,8835
